0,1,2
1,0,13
2,0,26
3,0,27
4,0,39
5,2,0
6,5,13
7,5,19
8,5,25
9,5,31
10,5,37
11,5,43
12,5,8
13,8,0
14,9,10
15,10,10
16,11,10
17,12,10
18,12,5
19,15,13
20,15,19
21,15,25
22,15,31
23,15,37
24,15,43
25,15,8
26,18,11
27,18,13
28,18,15
29,18,17
30,18,19
31,18,21
32,18,23
33,18,25
34,18,27
35,18,29
36,18,31
37,18,33
38,18,37
39,18,39
40,18,45
41,25,11
42,25,15
43,25,22
44,25,29
45,25,9
46,28,16
47,28,20
48,28,28
49,28,30
50,28,34
51,28,40
52,28,43
53,28,47
54,32,26
55,32,31
56,33,15
57,33,26
58,33,29
59,33,31
60,34,15
61,34,26
62,34,29
63,34,31
64,34,38
65,34,41
66,34,5
67,35,17
68,35,31
69,38,16
70,38,20
71,38,30
72,38,34
73,40,22
74,41,23
75,41,32
76,41,34
77,41,35
78,41,36
79,48,22
80,48,27
81,48,6
82,51,45
83,51,47
84,56,25
85,57,12
86,57,25
87,57,44
88,61,45
89,61,47
90,63,6
91,64,22
92,71,11
93,71,13
94,71,16
95,71,45
96,71,47
97,74,12
98,74,16
99,74,39
100,74,6
